Date,City_name,Views
2020-09-01,Quezon City,0
2020-09-02,Quezon City,0
2020-09-03,Quezon City,0
2020-09-04,Quezon City,0
2020-09-05,Quezon City,0
2020-09-06,Quezon City,0
2020-09-07,Quezon City,0
2020-09-08,Quezon City,0
2020-09-09,Quezon City,0
2020-09-10,Quezon City,0
2020-09-11,Quezon City,0
2020-09-12,Quezon City,0
2020-09-13,Quezon City,0
2020-09-14,Quezon City,0
2020-09-15,Quezon City,0
2020-09-16,Quezon City,0
2020-09-17,Quezon City,0
2020-09-18,Quezon City,0
2020-09-19,Quezon City,0
2020-09-20,Quezon City,0
2020-09-21,Quezon City,0
2020-09-22,Quezon City,0
2020-09-23,Quezon City,0
2020-09-24,Quezon City,0
2020-09-25,Quezon City,0
2020-09-26,Quezon City,0
2020-09-27,Quezon City,0
2020-09-28,Quezon City,0
2020-09-29,Quezon City,0
2020-09-30,Quezon City,0
2020-10-01,Quezon City,0
2020-10-02,Quezon City,0
2020-10-03,Quezon City,0
2020-10-04,Quezon City,0
2020-10-05,Quezon City,0
2020-10-06,Quezon City,0
2020-10-07,Quezon City,0
2020-10-08,Quezon City,0
2020-10-09,Quezon City,0
2020-10-10,Quezon City,0
2020-10-11,Quezon City,0
2020-10-12,Quezon City,0
2020-10-13,Quezon City,0
2020-10-14,Quezon City,0
2020-10-15,Quezon City,0
2020-10-16,Quezon City,0
2020-10-17,Quezon City,0
2020-10-18,Quezon City,0
2020-10-19,Quezon City,0
2020-10-20,Quezon City,0
2020-10-21,Quezon City,0
2020-10-22,Quezon City,0
2020-10-23,Quezon City,0
2020-10-24,Quezon City,0
2020-10-25,Quezon City,0
2020-10-26,Quezon City,0
2020-10-27,Quezon City,0
2020-10-28,Quezon City,0
2020-10-29,Quezon City,0
2020-10-30,Quezon City,0
2020-10-31,Quezon City,0
2020-11-01,Quezon City,0
2020-11-02,Quezon City,0
2020-11-03,Quezon City,0
2020-11-04,Quezon City,0
2020-11-05,Quezon City,0
2020-11-06,Quezon City,0
2020-11-07,Quezon City,0
2020-11-08,Quezon City,0
2020-11-09,Quezon City,0
2020-11-10,Quezon City,0
2020-11-11,Quezon City,0
2020-11-12,Quezon City,0
2020-11-13,Quezon City,0
2020-11-14,Quezon City,0
2020-11-15,Quezon City,0
2020-11-16,Quezon City,0
2020-11-17,Quezon City,0
2020-11-18,Quezon City,0
2020-11-19,Quezon City,0
2020-11-20,Quezon City,0
2020-11-21,Quezon City,0
2020-11-22,Quezon City,0
2020-11-23,Quezon City,0
2020-11-24,Quezon City,0
2020-11-25,Quezon City,0
2020-11-26,Quezon City,0
2020-11-27,Quezon City,0
2020-11-28,Quezon City,0
2020-11-29,Quezon City,0
2020-11-30,Quezon City,0
2020-12-01,Quezon City,0
2020-12-02,Quezon City,0
2020-12-03,Quezon City,0
2020-12-04,Quezon City,0
2020-12-05,Quezon City,0
2020-12-06,Quezon City,0
2020-12-07,Quezon City,0
2020-12-08,Quezon City,0
2020-12-09,Quezon City,0
2020-12-10,Quezon City,0
2020-12-11,Quezon City,0
2020-12-12,Quezon City,0
2020-12-13,Quezon City,0
2020-12-14,Quezon City,0
2020-12-15,Quezon City,0
2020-12-16,Quezon City,0
2020-12-17,Quezon City,0
2020-12-18,Quezon City,0
2020-12-19,Quezon City,0
2020-12-20,Quezon City,0
2020-12-21,Quezon City,0
2020-12-22,Quezon City,0
2020-12-23,Quezon City,0
2020-12-24,Quezon City,0
2020-12-25,Quezon City,0
2020-12-26,Quezon City,0
2020-12-27,Quezon City,0
2020-12-28,Quezon City,0
2020-12-29,Quezon City,0
2020-12-30,Quezon City,0
2020-12-31,Quezon City,0
2021-01-01,Quezon City,0
2021-01-02,Quezon City,0
2021-01-03,Quezon City,0
2021-01-04,Quezon City,0
2021-01-05,Quezon City,0
2021-01-06,Quezon City,0
2021-01-07,Quezon City,0
2021-01-08,Quezon City,0
2021-01-09,Quezon City,0
2021-01-10,Quezon City,0
2021-01-11,Quezon City,0
2021-01-12,Quezon City,0
2021-01-13,Quezon City,0
2021-01-14,Quezon City,0
2021-01-15,Quezon City,0
2021-01-16,Quezon City,0
2021-01-17,Quezon City,0
2021-01-18,Quezon City,0
2021-01-19,Quezon City,0
2021-01-20,Quezon City,0
2021-01-21,Quezon City,0
2021-01-22,Quezon City,0
2021-01-23,Quezon City,0
2021-01-24,Quezon City,0
2021-01-25,Quezon City,0
2021-01-26,Quezon City,0
2021-01-27,Quezon City,0
2021-01-28,Quezon City,0
2021-01-29,Quezon City,0
2021-01-30,Quezon City,0
2021-01-31,Quezon City,0
2021-02-01,Quezon City,0
2021-02-02,Quezon City,0
2021-02-03,Quezon City,0
2021-02-04,Quezon City,0
2021-02-05,Quezon City,0
2021-02-06,Quezon City,0
2021-02-07,Quezon City,0
2021-02-08,Quezon City,0
2021-02-09,Quezon City,0
2021-02-10,Quezon City,0
2021-02-11,Quezon City,0
2021-02-12,Quezon City,0
2021-02-13,Quezon City,0
2021-02-14,Quezon City,0
2021-02-15,Quezon City,0
2021-02-16,Quezon City,0
2021-02-17,Quezon City,0
2021-02-18,Quezon City,0
2021-02-19,Quezon City,0
2021-02-20,Quezon City,0
2021-02-21,Quezon City,0
2021-02-22,Quezon City,0
2021-02-23,Quezon City,0
2021-02-24,Quezon City,0
2021-02-25,Quezon City,0
2021-02-26,Quezon City,0
2021-02-27,Quezon City,0
2021-02-28,Quezon City,0
2021-03-01,Quezon City,0
2021-03-02,Quezon City,0
2021-03-03,Quezon City,0
2021-03-04,Quezon City,0
2021-03-05,Quezon City,0
2021-03-06,Quezon City,0
2021-03-07,Quezon City,0
2021-03-08,Quezon City,0
2021-03-09,Quezon City,0
2021-03-10,Quezon City,0
2021-03-11,Quezon City,0
2021-03-12,Quezon City,0
2021-03-13,Quezon City,0
2021-03-14,Quezon City,0
2021-03-15,Quezon City,0
2021-03-16,Quezon City,0
2021-03-17,Quezon City,0
2021-03-18,Quezon City,0
2021-03-19,Quezon City,0
2021-03-20,Quezon City,0
2021-03-21,Quezon City,0
2021-03-22,Quezon City,0
2021-03-23,Quezon City,0
2021-03-24,Quezon City,0
2021-03-25,Quezon City,0
2021-03-26,Quezon City,0
2021-03-27,Quezon City,0
2021-03-28,Quezon City,0
2021-03-29,Quezon City,0
2021-03-30,Quezon City,0
2021-03-31,Quezon City,0
2021-04-01,Quezon City,0
2021-04-02,Quezon City,0
2021-04-03,Quezon City,0
2021-04-04,Quezon City,0
2021-04-05,Quezon City,0
2021-04-06,Quezon City,0
2021-04-07,Quezon City,0
2021-04-08,Quezon City,0
2021-04-09,Quezon City,0
2021-04-10,Quezon City,0
2021-04-11,Quezon City,0
2021-04-12,Quezon City,0
2021-04-13,Quezon City,0
2021-04-14,Quezon City,0
2021-04-15,Quezon City,0
2021-04-16,Quezon City,0
2021-04-17,Quezon City,0
2021-04-18,Quezon City,0
2021-04-19,Quezon City,0
2021-04-20,Quezon City,0
2021-04-21,Quezon City,0
2021-04-22,Quezon City,0
2021-04-23,Quezon City,0
2021-04-24,Quezon City,0
2021-04-25,Quezon City,0
2021-04-26,Quezon City,0
2021-04-27,Quezon City,0
2021-04-28,Quezon City,0
2021-04-29,Quezon City,0
2021-04-30,Quezon City,0
2021-05-01,Quezon City,0
2021-05-02,Quezon City,0
2021-05-03,Quezon City,0
2021-05-04,Quezon City,0
2021-05-05,Quezon City,0
2021-05-06,Quezon City,0
2021-05-07,Quezon City,0
2021-05-08,Quezon City,0
2021-05-09,Quezon City,0
2021-05-10,Quezon City,0
2021-05-11,Quezon City,0
2021-05-12,Quezon City,0
2021-05-13,Quezon City,0
2021-05-14,Quezon City,0
2021-05-15,Quezon City,0
2021-05-16,Quezon City,0
2021-05-17,Quezon City,0
2021-05-18,Quezon City,0
2021-05-19,Quezon City,0
2021-05-20,Quezon City,0
2021-05-21,Quezon City,0
2021-05-22,Quezon City,0
2021-05-23,Quezon City,0
2021-05-24,Quezon City,0
2021-05-25,Quezon City,0
2021-05-26,Quezon City,0
2021-05-27,Quezon City,0
2021-05-28,Quezon City,0
2021-05-29,Quezon City,0
2021-05-30,Quezon City,0
2021-05-31,Quezon City,0
2021-06-01,Quezon City,0
2021-06-02,Quezon City,0
2021-06-03,Quezon City,0
2021-06-04,Quezon City,0
2021-06-05,Quezon City,0
2021-06-06,Quezon City,0
2021-06-07,Quezon City,0
2021-06-08,Quezon City,0
2021-06-09,Quezon City,0
2021-06-10,Quezon City,0
2021-06-11,Quezon City,0
2021-06-12,Quezon City,0
2021-06-13,Quezon City,0
2021-06-14,Quezon City,0
2021-06-15,Quezon City,0
2021-06-16,Quezon City,0
2021-06-17,Quezon City,0
2021-06-18,Quezon City,0
2021-06-19,Quezon City,0
2021-06-20,Quezon City,0
2021-06-21,Quezon City,0
2021-06-22,Quezon City,0
2021-06-23,Quezon City,0
2021-06-24,Quezon City,0
2021-06-25,Quezon City,0
2021-06-26,Quezon City,0
2021-06-27,Quezon City,0
2021-06-28,Quezon City,0
2021-06-29,Quezon City,0
2021-06-30,Quezon City,0
2021-07-01,Quezon City,0
2021-07-02,Quezon City,0
2021-07-03,Quezon City,0
2021-07-04,Quezon City,0
2021-07-05,Quezon City,0
2021-07-06,Quezon City,0
2021-07-07,Quezon City,0
2021-07-08,Quezon City,0
2021-07-09,Quezon City,0
2021-07-10,Quezon City,0
2021-07-11,Quezon City,0
2021-07-12,Quezon City,0
2021-07-13,Quezon City,0
2021-07-14,Quezon City,0
2021-07-15,Quezon City,0
2021-07-16,Quezon City,0
2021-07-17,Quezon City,0
2021-07-18,Quezon City,0
2021-07-19,Quezon City,0
2021-07-20,Quezon City,0
2021-07-21,Quezon City,0
2021-07-22,Quezon City,0
2021-07-23,Quezon City,0
2021-07-24,Quezon City,0
2021-07-25,Quezon City,0
2021-07-26,Quezon City,0
2021-07-27,Quezon City,0
2021-07-28,Quezon City,0
2021-07-29,Quezon City,0
2021-07-30,Quezon City,0
2021-07-31,Quezon City,0
2021-08-01,Quezon City,0
2021-08-02,Quezon City,0
2021-08-03,Quezon City,0
2021-08-04,Quezon City,0
2021-08-05,Quezon City,0
2021-08-06,Quezon City,0
2021-08-07,Quezon City,0
2021-08-08,Quezon City,0
2021-08-09,Quezon City,0
2021-08-10,Quezon City,0
2021-08-11,Quezon City,0
2021-08-12,Quezon City,0
2021-08-13,Quezon City,0
2021-08-14,Quezon City,0
2021-08-15,Quezon City,0
2021-08-16,Quezon City,0
2021-08-17,Quezon City,0
2021-08-18,Quezon City,0
2021-08-19,Quezon City,0
2021-08-20,Quezon City,0
2021-08-21,Quezon City,0
2021-08-22,Quezon City,0
2021-08-23,Quezon City,0
2021-08-24,Quezon City,0
2021-08-25,Quezon City,0
2021-08-26,Quezon City,0
2021-08-27,Quezon City,0
2021-08-28,Quezon City,0
2021-08-29,Quezon City,0
2021-08-30,Quezon City,0
2021-08-31,Quezon City,0
2021-09-01,Quezon City,0
2021-09-02,Quezon City,0
2021-09-03,Quezon City,0
2021-09-04,Quezon City,0
2021-09-05,Quezon City,0
2021-09-06,Quezon City,0
2021-09-07,Quezon City,0
2021-09-08,Quezon City,0
2021-09-09,Quezon City,0
2021-09-10,Quezon City,0
2021-09-11,Quezon City,0
2021-09-12,Quezon City,0
2021-09-13,Quezon City,0
2021-09-14,Quezon City,0
2021-09-15,Quezon City,0
2021-09-16,Quezon City,0
2021-09-17,Quezon City,0
2021-09-18,Quezon City,0
2021-09-19,Quezon City,0
2021-09-20,Quezon City,0
2021-09-21,Quezon City,0
2021-09-22,Quezon City,0
2021-09-23,Quezon City,0
2021-09-24,Quezon City,0
2021-09-25,Quezon City,0
2021-09-26,Quezon City,0
2021-09-27,Quezon City,0
2021-09-28,Quezon City,0
2021-09-29,Quezon City,0
2021-09-30,Quezon City,0
2021-10-01,Quezon City,0
2021-10-02,Quezon City,0
2021-10-03,Quezon City,0
2021-10-04,Quezon City,0
2021-10-05,Quezon City,0
2021-10-06,Quezon City,0
2021-10-07,Quezon City,0
2021-10-08,Quezon City,0
2021-10-09,Quezon City,0
2021-10-10,Quezon City,0
2021-10-11,Quezon City,0
2021-10-12,Quezon City,0
2021-10-13,Quezon City,0
2021-10-14,Quezon City,0
2021-10-15,Quezon City,0
2021-10-16,Quezon City,0
2021-10-17,Quezon City,0
2021-10-18,Quezon City,0
2021-10-19,Quezon City,0
2021-10-20,Quezon City,0
2021-10-21,Quezon City,0
2021-10-22,Quezon City,0
2021-10-23,Quezon City,0
2021-10-24,Quezon City,0
2021-10-25,Quezon City,0
2021-10-26,Quezon City,0
2021-10-27,Quezon City,0
2021-10-28,Quezon City,0
2021-10-29,Quezon City,0
2021-10-30,Quezon City,0
2021-10-31,Quezon City,0
2021-11-01,Quezon City,0
2021-11-02,Quezon City,0
2021-11-03,Quezon City,0
2021-11-04,Quezon City,0
2021-11-05,Quezon City,0
2021-11-06,Quezon City,0
2021-11-07,Quezon City,0
2021-11-08,Quezon City,0
2021-11-09,Quezon City,0
2021-11-10,Quezon City,0
2021-11-11,Quezon City,0
2021-11-12,Quezon City,0
2021-11-13,Quezon City,0
2021-11-14,Quezon City,0
2021-11-15,Quezon City,0
2021-11-16,Quezon City,0
2021-11-17,Quezon City,0
2021-11-18,Quezon City,0
2021-11-19,Quezon City,0
2021-11-20,Quezon City,0
2021-11-21,Quezon City,0
2021-11-22,Quezon City,0
2021-11-23,Quezon City,0
2021-11-24,Quezon City,0
2021-11-25,Quezon City,0
2021-11-26,Quezon City,0
2021-11-27,Quezon City,0
2021-11-28,Quezon City,0
2021-11-29,Quezon City,0
2021-11-30,Quezon City,0
2021-12-01,Quezon City,0
2021-12-02,Quezon City,0
2021-12-03,Quezon City,0
2021-12-04,Quezon City,0
2021-12-05,Quezon City,0
2021-12-06,Quezon City,0
2021-12-07,Quezon City,0
2021-12-08,Quezon City,0
2021-12-09,Quezon City,0
2021-12-10,Quezon City,0
2021-12-11,Quezon City,0
2021-12-12,Quezon City,0
2021-12-13,Quezon City,0
2021-12-14,Quezon City,0
2021-12-15,Quezon City,0
2021-12-16,Quezon City,0
2021-12-17,Quezon City,0
2021-12-18,Quezon City,0
2021-12-19,Quezon City,0
2021-12-20,Quezon City,0
2021-12-21,Quezon City,0
2021-12-22,Quezon City,0
2021-12-23,Quezon City,0
2021-12-24,Quezon City,0
2021-12-25,Quezon City,0
2021-12-26,Quezon City,0
2021-12-27,Quezon City,0
2021-12-28,Quezon City,0
2021-12-29,Quezon City,0
2021-12-30,Quezon City,0
2021-12-31,Quezon City,0
2022-01-01,Quezon City,0
2022-01-02,Quezon City,0
2022-01-03,Quezon City,0
2022-01-04,Quezon City,0
2022-01-05,Quezon City,0
2022-01-06,Quezon City,0
2022-01-07,Quezon City,0
2022-01-08,Quezon City,0
2022-01-09,Quezon City,0
2022-01-10,Quezon City,0
2022-01-11,Quezon City,0
2022-01-12,Quezon City,0
2022-01-13,Quezon City,0
2022-01-14,Quezon City,0
2022-01-15,Quezon City,0
2022-01-16,Quezon City,0
2022-01-17,Quezon City,0
2022-01-18,Quezon City,0
2022-01-19,Quezon City,0
2022-01-20,Quezon City,0
2022-01-21,Quezon City,0
2022-01-22,Quezon City,0
2022-01-23,Quezon City,0
2022-01-24,Quezon City,0
2022-01-25,Quezon City,0
2022-01-26,Quezon City,0
2022-01-27,Quezon City,0
2022-01-28,Quezon City,0
2022-01-29,Quezon City,0
2022-01-30,Quezon City,0
2022-01-31,Quezon City,0
2022-02-01,Quezon City,0
2022-02-02,Quezon City,0
2022-02-03,Quezon City,0
2022-02-04,Quezon City,0
2022-02-05,Quezon City,0
2022-02-06,Quezon City,0
2022-02-07,Quezon City,0
2022-02-08,Quezon City,0
2022-02-09,Quezon City,0
2022-02-10,Quezon City,0
2022-02-11,Quezon City,0
2022-02-12,Quezon City,0
2022-02-13,Quezon City,0
2022-02-14,Quezon City,0
2022-02-15,Quezon City,0
2022-02-16,Quezon City,0
2022-02-17,Quezon City,0
2022-02-18,Quezon City,0
2022-02-19,Quezon City,0
2022-02-20,Quezon City,0
2022-02-21,Quezon City,0
2022-02-22,Quezon City,0
2022-02-23,Quezon City,0
2022-02-24,Quezon City,0
2022-02-25,Quezon City,0
2022-02-26,Quezon City,0
2022-02-27,Quezon City,0
2022-02-28,Quezon City,0
2022-03-01,Quezon City,0
2022-03-02,Quezon City,0
2022-03-03,Quezon City,0
2022-03-04,Quezon City,0
2022-03-05,Quezon City,0
2022-03-06,Quezon City,0
2022-03-07,Quezon City,0
2022-03-08,Quezon City,0
2022-03-09,Quezon City,0
2022-03-10,Quezon City,0
2022-03-11,Quezon City,0
2022-03-12,Quezon City,0
2022-03-13,Quezon City,0
2022-03-14,Quezon City,0
2022-03-15,Quezon City,0
2022-03-16,Quezon City,0
2022-03-17,Quezon City,0
2022-03-18,Quezon City,0
2022-03-19,Quezon City,0
2022-03-20,Quezon City,0
2022-03-21,Quezon City,0
2022-03-22,Quezon City,0
2022-03-23,Quezon City,0
2022-03-24,Quezon City,0
2022-03-25,Quezon City,0
2022-03-26,Quezon City,0
2022-03-27,Quezon City,0
2022-03-28,Quezon City,0
2022-03-29,Quezon City,0
2022-03-30,Quezon City,0
2022-03-31,Quezon City,0
2022-04-01,Quezon City,0
2022-04-02,Quezon City,0
2022-04-03,Quezon City,0
2022-04-04,Quezon City,0
2022-04-05,Quezon City,0
2022-04-06,Quezon City,0
2022-04-07,Quezon City,0
2022-04-08,Quezon City,0
2022-04-09,Quezon City,0
2022-04-10,Quezon City,0
2022-04-11,Quezon City,0
2022-04-12,Quezon City,0
2022-04-13,Quezon City,0
2022-04-14,Quezon City,0
2022-04-15,Quezon City,0
2022-04-16,Quezon City,0
2022-04-17,Quezon City,0
2022-04-18,Quezon City,0
2022-04-19,Quezon City,0
2022-04-20,Quezon City,0
2022-04-21,Quezon City,0
2022-04-22,Quezon City,0
2022-04-23,Quezon City,0
2022-04-24,Quezon City,0
2022-04-25,Quezon City,0
2022-04-26,Quezon City,0
2022-04-27,Quezon City,0
2022-04-28,Quezon City,0
2022-04-29,Quezon City,0
2022-04-30,Quezon City,0
2022-05-01,Quezon City,0
2022-05-02,Quezon City,0
2022-05-03,Quezon City,0
2022-05-04,Quezon City,0
2022-05-05,Quezon City,0
2022-05-06,Quezon City,0
2022-05-07,Quezon City,0
2022-05-08,Quezon City,0
2022-05-09,Quezon City,0
2022-05-10,Quezon City,0
2022-05-11,Quezon City,0
2022-05-12,Quezon City,0
2022-05-13,Quezon City,0
2022-05-14,Quezon City,0
2022-05-15,Quezon City,0
2022-05-16,Quezon City,0
2022-05-17,Quezon City,0
2022-05-18,Quezon City,0
2022-05-19,Quezon City,0
2022-05-20,Quezon City,0
2022-05-21,Quezon City,0
2022-05-22,Quezon City,0
2022-05-23,Quezon City,0
2022-05-24,Quezon City,0
2022-05-25,Quezon City,0
2022-05-26,Quezon City,0
2022-05-27,Quezon City,0
2022-05-28,Quezon City,0
2022-05-29,Quezon City,0
2022-05-30,Quezon City,0
2022-05-31,Quezon City,0
2022-06-01,Quezon City,0
2022-06-02,Quezon City,0
2022-06-03,Quezon City,0
2022-06-04,Quezon City,0
2022-06-05,Quezon City,0
2022-06-06,Quezon City,0
2022-06-07,Quezon City,0
2022-06-08,Quezon City,0
2022-06-09,Quezon City,0
2022-06-10,Quezon City,0
2022-06-11,Quezon City,0
2022-06-12,Quezon City,0
2022-06-13,Quezon City,0
2022-06-14,Quezon City,0
2022-06-15,Quezon City,0
2022-06-16,Quezon City,0
2022-06-17,Quezon City,0
2022-06-18,Quezon City,0
2022-06-19,Quezon City,0
2022-06-20,Quezon City,0
2022-06-21,Quezon City,0
2022-06-22,Quezon City,0
2022-06-23,Quezon City,0
2022-06-24,Quezon City,0
2022-06-25,Quezon City,0
2022-06-26,Quezon City,0
2022-06-27,Quezon City,0
2022-06-28,Quezon City,0
2022-06-29,Quezon City,0
2022-06-30,Quezon City,0
2022-07-01,Quezon City,0
2022-07-02,Quezon City,0
2022-07-03,Quezon City,0
2022-07-04,Quezon City,0
2022-07-05,Quezon City,0
2022-07-06,Quezon City,0
2022-07-07,Quezon City,0
2022-07-08,Quezon City,0
2022-07-09,Quezon City,0
2022-07-10,Quezon City,0
2022-07-11,Quezon City,0
2022-07-12,Quezon City,0
2022-07-13,Quezon City,0
2022-07-14,Quezon City,0
2022-07-15,Quezon City,0
2022-07-16,Quezon City,0
2022-07-17,Quezon City,0
2022-07-18,Quezon City,0
2022-07-19,Quezon City,0
2022-07-20,Quezon City,0
2022-07-21,Quezon City,0
2022-07-22,Quezon City,0
2022-07-23,Quezon City,0
2022-07-24,Quezon City,0
2022-07-25,Quezon City,0
2022-07-26,Quezon City,0
2022-07-27,Quezon City,0
2022-07-28,Quezon City,0
2022-07-29,Quezon City,0
2022-07-30,Quezon City,0
2022-07-31,Quezon City,0
2022-08-01,Quezon City,0
2022-08-02,Quezon City,0
2022-08-03,Quezon City,0
2022-08-04,Quezon City,0
2022-08-05,Quezon City,0
2022-08-06,Quezon City,0
2022-08-07,Quezon City,0
2022-08-08,Quezon City,0
2022-08-09,Quezon City,0
2022-08-10,Quezon City,0
2022-08-11,Quezon City,0
2022-08-12,Quezon City,0
2022-08-13,Quezon City,0
2022-08-14,Quezon City,0
2022-08-15,Quezon City,0
2022-08-16,Quezon City,0
2022-08-17,Quezon City,0
2022-08-18,Quezon City,0
2022-08-19,Quezon City,0
2022-08-20,Quezon City,0
2022-08-21,Quezon City,0
2022-08-22,Quezon City,0
2022-08-23,Quezon City,0
2022-08-24,Quezon City,0
2022-08-25,Quezon City,0
2022-08-26,Quezon City,0
2022-08-27,Quezon City,0
2022-08-28,Quezon City,0
2022-08-29,Quezon City,0
2022-08-30,Quezon City,0
2022-08-31,Quezon City,0
2022-09-01,Quezon City,11
2022-09-02,Quezon City,0
2022-09-03,Quezon City,0
2022-09-04,Quezon City,0
2022-09-05,Quezon City,0
2022-09-06,Quezon City,0
2022-09-07,Quezon City,0
2022-09-08,Quezon City,0
2022-09-09,Quezon City,0
2022-09-10,Quezon City,0
2022-09-11,Quezon City,0
2022-09-12,Quezon City,0
2022-09-13,Quezon City,0
2022-09-14,Quezon City,0
2022-09-15,Quezon City,0
2022-09-16,Quezon City,0
2022-09-17,Quezon City,0
2022-09-18,Quezon City,0
2022-09-19,Quezon City,0
2022-09-20,Quezon City,0
2022-09-21,Quezon City,0
2022-09-22,Quezon City,0
2022-09-23,Quezon City,0
2022-09-24,Quezon City,0
2022-09-25,Quezon City,0
2022-09-26,Quezon City,0
2022-09-27,Quezon City,0
2022-09-28,Quezon City,0
2022-09-29,Quezon City,0
2022-09-30,Quezon City,0
2022-10-01,Quezon City,0
2022-10-02,Quezon City,0
2022-10-03,Quezon City,0
2022-10-04,Quezon City,0
2022-10-05,Quezon City,0
2022-10-06,Quezon City,0
2022-10-07,Quezon City,0
2022-10-08,Quezon City,0
2022-10-09,Quezon City,0
2022-10-10,Quezon City,0
2022-10-11,Quezon City,0
2022-10-12,Quezon City,0
2022-10-13,Quezon City,0
2022-10-14,Quezon City,0
2022-10-15,Quezon City,0
2022-10-16,Quezon City,0
2022-10-17,Quezon City,0
2022-10-18,Quezon City,0
2022-10-19,Quezon City,0
2022-10-20,Quezon City,0
2022-10-21,Quezon City,0
2022-10-22,Quezon City,0
2022-10-23,Quezon City,0
2022-10-24,Quezon City,0
2022-10-25,Quezon City,0
2022-10-26,Quezon City,0
2022-10-27,Quezon City,0
2022-10-28,Quezon City,0
2022-10-29,Quezon City,0
2022-10-30,Quezon City,0
2022-10-31,Quezon City,0
2022-11-01,Quezon City,0
2022-11-02,Quezon City,0
2022-11-03,Quezon City,0
2022-11-04,Quezon City,0
2022-11-05,Quezon City,0
2022-11-06,Quezon City,0
2022-11-07,Quezon City,0
2022-11-08,Quezon City,0
2022-11-09,Quezon City,0
2022-11-10,Quezon City,0
2022-11-11,Quezon City,0
2022-11-12,Quezon City,0
2022-11-13,Quezon City,0
2022-11-14,Quezon City,0
2022-11-15,Quezon City,0
2022-11-16,Quezon City,0
2022-11-17,Quezon City,0
2022-11-18,Quezon City,0
2022-11-19,Quezon City,0
2022-11-20,Quezon City,0
2022-11-21,Quezon City,0
2022-11-22,Quezon City,0
2022-11-23,Quezon City,0
2022-11-24,Quezon City,0
2022-11-25,Quezon City,0
2022-11-26,Quezon City,0
2022-11-27,Quezon City,0
2022-11-28,Quezon City,0
2022-11-29,Quezon City,0
2022-11-30,Quezon City,0
2022-12-01,Quezon City,0
2022-12-02,Quezon City,0
2022-12-03,Quezon City,0
2022-12-04,Quezon City,0
2022-12-05,Quezon City,0
2022-12-06,Quezon City,0
2022-12-07,Quezon City,0
2022-12-08,Quezon City,0
2022-12-09,Quezon City,0
2022-12-10,Quezon City,0
2022-12-11,Quezon City,0
2022-12-12,Quezon City,0
2022-12-13,Quezon City,0
2022-12-14,Quezon City,0
2022-12-15,Quezon City,0
2022-12-16,Quezon City,0
2022-12-17,Quezon City,0
2022-12-18,Quezon City,0
2022-12-19,Quezon City,0
2022-12-20,Quezon City,0
2022-12-21,Quezon City,0
2022-12-22,Quezon City,0
2022-12-23,Quezon City,0
2022-12-24,Quezon City,0
2022-12-25,Quezon City,0
2022-12-26,Quezon City,0
2022-12-27,Quezon City,0
2022-12-28,Quezon City,0
2022-12-29,Quezon City,0
2022-12-30,Quezon City,0
2022-12-31,Quezon City,0
2023-01-01,Quezon City,0
2023-01-02,Quezon City,0
2023-01-03,Quezon City,0
2023-01-04,Quezon City,0
2023-01-05,Quezon City,0
2023-01-06,Quezon City,0
2023-01-07,Quezon City,0
2023-01-08,Quezon City,0
2023-01-09,Quezon City,0
2023-01-10,Quezon City,0
2023-01-11,Quezon City,0
2023-01-12,Quezon City,0
2023-01-13,Quezon City,0
2023-01-14,Quezon City,0
2023-01-15,Quezon City,0
2023-01-16,Quezon City,0
2023-01-17,Quezon City,0
2023-01-18,Quezon City,0
2023-01-19,Quezon City,0
2023-01-20,Quezon City,0
2023-01-21,Quezon City,0
2023-01-22,Quezon City,0
2023-01-23,Quezon City,0
2023-01-24,Quezon City,0
2023-01-25,Quezon City,0
2023-01-26,Quezon City,0
2023-01-27,Quezon City,0
2023-01-28,Quezon City,0
2023-01-29,Quezon City,0
2023-01-30,Quezon City,0
2023-01-31,Quezon City,0
2023-02-01,Quezon City,0
2023-02-02,Quezon City,0
2023-02-03,Quezon City,0
2023-02-04,Quezon City,0
2023-02-05,Quezon City,0
2023-02-06,Quezon City,0
2023-02-07,Quezon City,0
2023-02-08,Quezon City,0
2023-02-09,Quezon City,0
2023-02-10,Quezon City,0
2023-02-11,Quezon City,0
2023-02-12,Quezon City,0
2023-02-13,Quezon City,0
2023-02-14,Quezon City,0
2023-02-15,Quezon City,0
2023-02-16,Quezon City,0
2023-02-17,Quezon City,0
2023-02-18,Quezon City,0
2023-02-19,Quezon City,0
2023-02-20,Quezon City,0
2023-02-21,Quezon City,0
2023-02-22,Quezon City,0
2023-02-23,Quezon City,0
2023-02-24,Quezon City,0
2023-02-25,Quezon City,0
2023-02-26,Quezon City,0
2023-02-27,Quezon City,0
2023-02-28,Quezon City,0
2023-03-01,Quezon City,0
2023-03-02,Quezon City,0
2023-03-03,Quezon City,0
2023-03-04,Quezon City,0
2023-03-05,Quezon City,0
2023-03-06,Quezon City,0
2023-03-07,Quezon City,0
2023-03-08,Quezon City,0
2023-03-09,Quezon City,0
2023-03-10,Quezon City,0
2023-03-11,Quezon City,0
2023-03-12,Quezon City,0
2023-03-13,Quezon City,0
2023-03-14,Quezon City,0
2023-03-15,Quezon City,0
2023-03-16,Quezon City,0
2023-03-17,Quezon City,0
2023-03-18,Quezon City,0
2023-03-19,Quezon City,0
2023-03-20,Quezon City,0
2023-03-21,Quezon City,0
